Date,Title,Tickers,Sentiment,Global Sentiment,Pct_Change
2010-01-04,Global Stocks and Commodities Rally on First Trading Day of 2010,"[""['ACWI']""]",{'ACWI': 1},1,{'ACWI': 0.02057236532425244}
2010-01-04,Dollar Slumps Amid Worldwide Manufacturing Improvement,"[""['UUP', 'ACWI']""]","{'UUP': -1, 'ACWI': 1}",0,"{'UUP': -0.006932462151207686, 'ACWI': 0.020571943968350936}"
2010-01-04,Oil Prices Surge Above $81 a Barrel Due to U.S. Cold Weather,"[""['CL=F']""]",{'CL=F': 1},1,{'CL=F': 0.027091752889911946}
2010-01-04,"S&P 500 Sees 1.6 Percent Increase, Hits 15-Month High","[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.01604341766668682}
2010-01-04,"Argentina's Merval Index Reaches Record High, Brazil's Bovespa Surpasses 70,000","[""['^MERV']""]",{'^MERV': 1},1,{'^MERV': 0.02749172670767197}
2010-01-04,Natural Gas and Crude Oil Prices Jump Amid U.S. Cold Snap,"[""['NG=F', 'CL=F']""]","{'NG=F': 1, 'CL=F': 1}",1,"{'NG=F': 0.05599422044613034, 'CL=F': 0.027091752889911946}"
2010-01-04,"Gold and Copper Prices Rise, with Copper Hitting 16-Month High","[""['GLD', 'JJC']""]",{'GLD': 1},1,{'GLD': 0.023203853786358142}
2010-01-04,U.S. Manufacturing Index Reaches Highest Level in Over Three Years,"[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.01604341766668682}
2010-01-04, Exxon Mobil Corp. and Chevron Corp. Lead Gains in U.S. Energy Shares,"[""['XOM', 'CVX']""]","{'XOM': 1, 'CVX': 1}",1,"{'XOM': 0.01407805128588091, 'CVX': 0.026886636966231725}"
2010-01-04, Intel Corp. Shares Rally After Upgrade by Robert W. Baird & Co.,"[""['INTC']""]",{'INTC': 1},1,{'INTC': 0.023529197186641815}
2010-01-04," Dollar Weakens Against Major Currencies, Affecting Gold Prices","[""['UUP']""]",{'UUP': -1},-1,{'UUP': -0.006932462151207686}
2010-01-04, Europe's Dow Jones Stoxx 600 Index Gains 1.5 Percent,"[""['^STOXX']""]",{'^STOXX': 1},1,{'^STOXX': 0.017735780413274727}
2010-01-04, Nestle SA Shares Up After Novartis AG Acquires Stake in Alcon Inc.,"[""['NSRGF', 'NVS']""]","{'NSRGF': 1, 'NVS': -1}",0,"{'NSRGF': 0.01437365531112511, 'NVS': -0.033437132043097506}"
2010-01-04," MSCI Asia Pacific Index Climbs, Japan Airlines Corp. Soars 31 Percent","[""['MXAP', '9202.T']""]",{'9202.T': 1},1,{'9202.T': 0.05158726412653292}
2010-01-04," U.S. Treasury Two-Year Notes Rise, Yields Fall","[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.01604341766668682}
2010-01-04, PIMCO Reduces Holdings of U.S. and U.K. Government Debt,"[""['SPY', 'EWU']""]","{'SPY': 1, 'EWU': 1}",1,"{'SPY': 0.016959367456760965, 'EWU': 0.019135527520535378}"
2010-01-04," MSCI Emerging Markets Index Continues Rally, Predicted to Rise Further","[""['EEM']""]",{'EEM': 1},1,{'EEM': 0.02915627122415687}
2010-01-05,Dollar Declines Against Yen Following U.S. Housing Report,"[""['^USDJPY=X', '^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.0031156756258232665}
2010-01-05,U.S. Treasuries Gain as Pending Home Resales Drop,"[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.0031156756258232665}
2010-01-05,Oil Prices Approach $82 Amid Cold Weather,"[""['CL=F']""]",{'CL=F': 0},0,{'CL=F': 0.003189725187362935}
2010-01-05,Orange Juice Prices Surge Due to U.S. Freeze,"[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.0031156756258232665}
2010-01-05,"Dow Jones Dips Slightly, S&P 500 Sees Gains","[""['DIA', 'SPY']""]","{'DIA': 0, 'SPY': 0}",0,"{'DIA': -0.0016090608997314515, 'SPY': 0.0026470419546955615}"
2010-01-05,U.S. Home Resale Contracts Fall 16% in November,"[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.0031156756258232665}
